harmonization_omop::OMOP_ID	COLUMN_NAME	VALUE_THRESHOLD	SIDE	CONVERSION	NOTES	MISC
3009542	extracted::MEASUREMENT_VALUE_MERGED	1	<	100	100xConverted	Hematocrit works in two different units mismatched at source
3022756	extracted::MEASUREMENT_VALUE	1	<	1000	1000xConverted	We're fixing the extracted ones only
3020564	harmonization_omop::MEASUREMENT_VALUE	3000	>	0.01	.01xConverted	Seems like these values have wrong unit
3023103	harmonization_omop::MEASUREMENT_VALUE	25	>	0.1	.01xConverted	Seems like these values have wrong unit
3009508	extracted::MEASUREMENT_VALUE	150	>	0.001	.001xConverted	Seems like these values have wrong unit
3013742	harmonization_omop::MEASUREMENT_VALUE	1.5	>	0.001	.001xConverted	Seems like these values have wrong unit
3022493	harmonization_omop::MEASUREMENT_VALUE	50000	>	0.001	.001xConverted	Seems like these values have wrong unit
3024474	harmonization_omop::MEASUREMENT_VALUE	2	<	1000	1000xConverted	Seems like these values have wrong unit
3026361	harmonization_omop::MEASUREMENT_VALUE	0.1	<	1000	1000xConverted	Unit should be injected to E12/l
44816559	extracted::MEASUREMENT_VALUE	0	>	0.73	0.73xConverted	Fixes problem with b-peth umol/l mg/l conversion